|  I0 ||  I1 ||  I2 ||  I3 ||(I0&I1)||(!I2)||((I0&I1)&(!I2))||(!I1)||(((I0&I1)&(!I2))+(!I1))||((((I0&I1)&(!I2))+(!I1))+I3)|
|  0  ||  0  ||  0  ||  0  ||   0   ||  1  ||       0       ||  1  ||           1           ||             1              |
|  0  ||  0  ||  0  ||  1  ||   0   ||  1  ||       0       ||  1  ||           1           ||             1              |
|  0  ||  0  ||  1  ||  0  ||   0   ||  0  ||       0       ||  1  ||           1           ||             1              |
|  0  ||  0  ||  1  ||  1  ||   0   ||  0  ||       0       ||  1  ||           1           ||             1              |
|  0  ||  1  ||  0  ||  0  ||   0   ||  1  ||       0       ||  0  ||           0           ||             0              |
|  0  ||  1  ||  0  ||  1  ||   0   ||  1  ||       0       ||  0  ||           0           ||             1              |
|  0  ||  1  ||  1  ||  0  ||   0   ||  0  ||       0       ||  0  ||           0           ||             0              |
|  0  ||  1  ||  1  ||  1  ||   0   ||  0  ||       0       ||  0  ||           0           ||             1              |
|  1  ||  0  ||  0  ||  0  ||   0   ||  1  ||       0       ||  1  ||           1           ||             1              |
|  1  ||  0  ||  0  ||  1  ||   0   ||  1  ||       0       ||  1  ||           1           ||             1              |
|  1  ||  0  ||  1  ||  0  ||   0   ||  0  ||       0       ||  1  ||           1           ||             1              |
|  1  ||  0  ||  1  ||  1  ||   0   ||  0  ||       0       ||  1  ||           1           ||             1              |
|  1  ||  1  ||  0  ||  0  ||   1   ||  1  ||       1       ||  0  ||           1           ||             1              |
|  1  ||  1  ||  0  ||  1  ||   1   ||  1  ||       1       ||  0  ||           1           ||             1              |
|  1  ||  1  ||  1  ||  0  ||   1   ||  0  ||       0       ||  0  ||           0           ||             0              |
|  1  ||  1  ||  1  ||  1  ||   1   ||  0  ||       0       ||  0  ||           0           ||             1              |
